date,deviceid,window,rpm,angle,temperature,humidity,windspeed,winddirection,power,maintenance
2019-06-30,WindTurbine-6,2019-06-30T00:00:00.000+0000,7.97981,7.72249,26.33019,78.1563,7.27524,E,153.6104545,TRUE
2019-06-30,WindTurbine-6,2019-06-30T00:05:00.000+0000,7.99816,7.02766,27.68782,75.1231,7.02184,E,162.5725343,TRUE
2019-06-30,WindTurbine-6,2019-06-30T00:10:00.000+0000,7.8448,7.98837,26.62253,79.685,7.24545,E,149.1457508,TRUE
2019-06-30,WindTurbine-6,2019-06-30T00:15:00.000+0000,7.13407,7.73631,26.06321,72.7976,7.3903,SE,148.252209,TRUE
2019-06-30,WindTurbine-6,2019-06-30T00:20:00.000+0000,7.69665,7.41497,27.21069,70.1417,7.94662,SW,186.3538406,TRUE
2019-06-30,WindTurbine-6,2019-06-30T00:25:00.000+0000,7.4215,7.78749,26.07828,79.9365,7.35011,S,139.7688019,TRUE
2019-06-30,WindTurbine-6,2019-06-30T00:30:00.000+0000,7.10273,7.53757,27.53811,72.7038,7.1926,SW,151.9774423,TRUE
2019-06-30,WindTurbine-6,2019-06-30T00:35:00.000+0000,7.31013,7.5089,27.86107,70.2242,7.2045,SW,164.1084086,TRUE
2019-06-30,WindTurbine-6,2019-06-30T00:40:00.000+0000,7.97349,7.46866,27.43558,74.7262,7.12728,NE,163.8718737,TRUE
2019-06-30,WindTurbine-6,2019-06-30T00:45:00.000+0000,7.7759,7.35897,25.10972,75.2055,7.32523,NW,149.3671505,TRUE
2019-06-30,WindTurbine-6,2019-06-30T00:50:00.000+0000,7.61462,7.45111,27.54421,71.4606,7.89498,NW,181.9926416,TRUE
2019-06-30,WindTurbine-6,2019-06-30T00:55:00.000+0000,7.50704,7.49711,25.00748,72.8796,7.80787,W,157.9632827,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:00:00.000+0000,7.45586,7.53521,25.16342,78.5594,7.03086,S,131.8768607,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:05:00.000+0000,7.32017,7.60768,26.82935,76.3461,7.00502,S,141.5287718,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:10:00.000+0000,7.04672,7.84,26.52762,78.085,7.91831,SW,148.8816199,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:15:00.000+0000,7.87406,7.78167,27.70643,77.0153,7.62534,NW,169.6494235,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:20:00.000+0000,7.98015,7.92361,25.03104,74.2376,7.35214,SE,155.3712611,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:25:00.000+0000,7.12323,7.80484,27.72738,79.3355,7.55739,NW,147.7681956,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:30:00.000+0000,7.15427,7.24344,26.97958,79.6876,7.15742,SE,136.1623892,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:35:00.000+0000,7.77905,7.38417,27.86106,73.0825,7.55909,NW,176.0642643,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:40:00.000+0000,7.57411,7.98835,27.81881,78.6851,7.29699,SW,153.4660459,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:45:00.000+0000,7.70645,7.25339,25.32852,70.7864,7.12205,W,154.2447064,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:50:00.000+0000,7.01985,7.16436,26.01019,70.6774,7.02042,S,142.4442044,TRUE
2019-06-30,WindTurbine-6,2019-06-30T01:55:00.000+0000,7.9806,7.15894,26.65962,74.6614,7.55239,S,169.0319006,TRUE
2019-06-30,WindTurbine-6,2019-06-30T02:00:00.000+0000,7.7018,7.4094,25.27205,74.8481,7.80391,SW,159.3878005,TRUE
2019-06-30,WindTurbine-6,2019-06-30T02:05:00.000+0000,7.85969,7.40279,27.59533,71.7141,7.77063,NE,184.5795505,TRUE
2019-06-30,WindTurbine-6,2019-06-30T02:10:00.000+0000,7.01389,7.63958,27.24928,74.6625,7.92518,W,159.3351106,TRUE
2019-06-30,WindTurbine-6,2019-06-30T02:15:00.000+0000,7.16557,7.94055,26.24052,70.9215,7.67553,E,159.8249356,TRUE
2019-06-30,WindTurbine-6,2019-06-30T02:20:00.000+0000,7.96862,7.7515,27.27491,79.024,7.78161,SE,168.0922894,TRUE
2019-06-30,WindTurbine-6,2019-06-30T02:25:00.000+0000,7.86557,7.90993,27.15158,74.6848,7.71277,NE,173.2185356,TRUE
